input,ground_truth,sft_output,edit_dist
"Fix grammaticality in this sentence: In the car, we talks including the movie, she say on Tom Cruise is the hotest guy of the world but I didn't mind, so when I say to her within the girls of the movies were very beatyfull, she saw me with but faces and then I say that she is better at the girl since the movies, so I think I'm going to gone upon UNKNOWN","In the car, we talked about the movie, she said that Tom Cruise is the hottest guy in the world but I don't mind, so when I said to her that the girl in the movie is very beautiful, she looked at me with but face and then I said that she is better than the girl in the movie, so I think I'm going to go to UNKNOWN","In the car, we talk, including the movie, she says, on Tom Cruise is the hottest guy of the world, but I didn't mind, so when I said to her, in the girls of the movies, were very beatyfull, she saw me with, but she said that she is better at the girl since the movies, so I think I'm going to go on UNKNOWN",70
"Fix grammatical errors: It are always wise to remembered that my cup above teas may been a cup during poison to the other person; and when we have the privelage of influencing so many minds, is our message or ideas a responsible and uplifting one or did it show our lack of tolerance or ignorance about a person, place or thing?","It is always wise to remember that my cup of tea may be a cup of poison to another person; and when we have the privilege of influencing so many minds, is our message or idea a responsible and uplifting one or does it show our lack of tolerance or ignorance about a person, place or thing?","It is always wise to remember that my cup above the tea may have been a cup during the poison to the other person; and when we have the privelage of influencing so many minds, is our message or ideas a responsible and uplifting one or did it show our lack of tolerance or ignorance about a person, place or thing?",35
"Fix grammar in the sentence: The Lost suitcase was like the airport a man he's name were Jhon, he lost the suitcases when he was checking out from the airport, his friend give a rides to hotel, whene he check in, Jhon taking a look and he noticed that one during his suicases is lost, Jhone went to the reseption and ask for a phones he called His friends mobiles and asked his upon there a suitcases before his cars, but his friend tolls him there been no suitcase in the car. but the Jhon remembered leaving the suitcas in the air port, so he called the air ports and finally Jhone finding his suitcases.","The lost suitcase was at the airport a man he's name was Jhon lost the suitcase when he was coming out of the airport, his friend gave him a ride to the hotel. whene he checked in, Jhon had a look and he noticed that one of his suitcases was lost. Jhone went to the reception and asked for a phone he called his friend's mobile and asked him if there was a suitcase in his car, but his friend told him there was no suitcase in the car. After that Jhon remembered leaving the suitcase in the airport, so he called the airport and finally Jhone found his suitcase.","The Lost suitcase was like the airport a man he was named Jhon, he lost the suitcases when he was checking out from the airport, his friend gave a ride to the hotel, when he checked in, Jhon took a look and he noticed that one during his suicas was lost, Jhone went to the resection and asked for a phones, his friend tolls him there, but his friend tolls him there was no suitcase in the car. but the Jhon remembered leaving the suitcases in the air port, so he called the air ports and finally Jhone found his suitcases.",113
"Fix grammar in the sentence: Another groups that observed support been the one plus independt or "" free-thinking "" artist this people offered a offers perspective and some times a very interesting viece under our usual life, if subsided are not unstable, then the goverment can provide open venues, halls or public facility for actors to performed and earn their lives, it is higly possible then a good artist many succeed and achive a good standard of lives.","Another group that deserve support is the one of independent or "" free-thinking "" artists These people offer a offered perspective and sometimes a very interesting view of our usual life, if subsidies are not unstable, then the government can provide open venues, halls or public facilities for actors to perform and earn their livings, it is highly possible that a good artist may succeed and achieve a good standard of living.","Another groups that observed support was the one plus independent or "" free-thinking"" artist this people offered a offers perspective and some times a very interesting vie under our usual life, if subsided are not unstable, then the goverment can provide open venues, halls or public facilities for actors to perform and earn their lives, it is higly possible then a good artist many succeed and achive a good standard of lives.",40
"Fix grammatical errors: This is why I totally agree like the following comments: "" My upbringings teaches me to been calm and easy-going - I really appreciate but now "". First of all, I agree with this person including I think that the ways someones has been brought having a great influence on his life.","This is why I totally agree with the following comment: "" My upbringing taught me to be calm and easy-going - I really appreciate that now. "" First of all, I agree with this person because I think that the way someone has been brought up has a great influence on his life.","This is why I totally agree like the following comments: "" My upbringings teaches me to be calm and easy-going - I really appreciate but now "". First of all, I agree with this person including I think that the ways someones have been brought have had a great influence on his life.",31
"Fix grammaticality: In another example around forwarding, I do something different despite the first.","In another example of forwarding, I did something different.","In another example, I do something different despite the first.",34
"Fix grammaticality: Schiavo doing not appoint a surrogate, therefore, her husband becomes her surrogate despite the legislation of State of Florida.","Schiavo did not appoint a surrogate; therefore, her husband became her surrogate under the legislation of Florida.","Schiavo did not appoint a surrogate, therefore, her husband became her surrogate despite the legislation of the State of Florida.",21
"Fix disfluencies in the sentence: Dear Sally I'm writting worried following our meet, around I realized that the day of the meetings, I'm going to are busy by a groups work we had at school; so we needed to change the meet up another day, I agreed with the idea of went on this Saturday, I hope you'll be free that day; remembered that the arranged been in the park at 9.a.m.","Dear Sally, I'm writing because I'm worried about our meeting, because I realized that on the day of the meeting, I'm going to be busy with some group work we have at school; so we need to change the meeting to another day. I agree with the idea of going this Saturday. I hope you'll be free that day; remember that the arrangement is to meet in the park at 9 a.m.","Dear Sally, I'm writing worried following our meet, around, I realized that the day of the meetings, I'm going to be busy by a group work, so we needed to change the meeting another day, I agreed with the idea of going to the park at 9 a.m.",156
"Fix grammatical errors in this sentence: The study aims to evaluate on how a changes of diet to full liquid for 8-week span and a 6-month follow-up can improve the participant's blood sugars levels and improve their T2DM (Steven et al. , 2016).","The study aimed to evaluate how a change of diet to full liquid for a 8-week span and a 6-month follow-up can improve the participants ' blood sugar level and their T2DM (Steven et al. , 2016).","The study aims to evaluate how a changes in diet to a full liquid for 8-week span and a 6-month follow-up can improve the participant's blood sugars levels and improve their T2DM (Steven et al., 2016).",23
"Fix disfluencies in the sentence: Like I know you and I now your personalities I suggested you to go the large school in the centre towns because there you will make a lots of friend's and alway's you will had something to did If you are bored, and if you gone through the small country side schools you wouldn't were able to make lots of friends because there is not going to be so much people there.","Since I know you, and I know your personality, I suggest you go to the large school in the centre of town because there you will make a lot of friends and you will always have something to do if you are bored, and if you go to the small countryside school you wouldn't be able to make a lot of friends because there are not going to be so many people there.","Like I know you and I now, and I now your personalities, I suggested you go to the large school in the center towns because there you will make a lot of friends, and you would have something to do if you were bored. And if you went through the small country side schools, you wouldn't be able to make lots of friends because there is not going to be so much people there.",59
"Fix disfluencies in the sentence: The difficulties she is facing been likely to lead behind high risk of abuses and neglect (Walker, McPhee, & Osborne, 2000).","The difficulties she is facing pose a high risk of abuse and neglect (Walker, McPhee, & Osborne, 2000).","The difficulties she is facing is likely to lead to high risk of abuses and neglect (Walker, McPhee, & Osborne, 2000).",18
"Fix grammaticality in this sentence: Another interpretations of the present findings of a declines between executive attention after the physical work out is about in those who pass in the FIFA-TEST, there were subjects upon a better physical level than others.","Another interpretation of the present finding of a decline in executive attention after the physical work out is that among those who pass in the FIFA-TEST, there were subjects in a better physical condition than others.","Another interpretation of the present findings of a declines between executive attention after the physical work out is about in those who pass in the FIFA-TEST, there were subjects upon a better physical level than others.",28
"Make the sentence grammatical: More so, all during these researches finding conclude that many of the athletes being asymptomatic, which makes it intensively tricky for clinicians even to know that they experiences a concussion.","More so, all of these research findings conclude that many of the athletes are asymptomatic, which makes it intensely tricky for clinicians to even know that they have experienced a concussion.","More so, all during these researches, finding conclude that many of the athletes being asymptomatic, which makes it extremely tricky for clinicians to know that they experience a concussion.",31
Fix grammaticality in this sentence: The greenhouse effects is the warming effect of carbon dioxide and other gasses preventing heat from the Earth's surfaces escapes into spaces (see the yellow arrow).,The greenhouse effect is the warming effect of carbon dioxide and other gasses preventing heat from Earth's surface from escaping into space (see the yellow arrow).,The greenhouse effect is the warming effect of carbon dioxide and other gasses preventing heat from the Earth's surfaces escaping into spaces (see the yellow arrow).,10
